Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-07,2025-07-31,580.16,-0.02155361419367907,-2.155361419367907
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-08,2025-08-29,571.63,-0.014702840595697708,-1.4702840595697708
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-09,2025-09-30,574.69,0.005353113027657841,0.5353113027657841
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-10,2025-10-31,598.63,0.0416572412953069,4.16572412953069
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-11,2025-11-28,607.81,0.015335014950804249,1.5335014950804249
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2025-12,2025-12-31,607.39,-0.0006910054128757004,-0.06910054128757004
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2026-01,2026-01-30,588.65,-0.030853323235482955,-3.0853323235482955
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2026-02,2026-02-27,583.62,-0.00854497579206659,-0.8544975792066589
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2026-03,2026-03-31,517.61,-0.11310441725780473,-11.310441725780473
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2026-04,2026-04-30,561.31,0.08442649871524877,8.442649871524877
Axis Large Cap Fund - Direct Plan,2013-01,2013-01-31,12.33,,
Axis Large Cap Fund - Direct Plan,2013-02,2013-02-28,11.96,-0.030008110300080992,-3.0008110300080992
Axis Large Cap Fund - Direct Plan,2013-03,2013-03-28,12.14,0.015050167224080147,1.5050167224080147
Axis Large Cap Fund - Direct Plan,2013-04,2013-04-30,12.77,0.05189456342668852,5.189456342668852
Axis Large Cap Fund - Direct Plan,2013-05,2013-05-31,12.93,0.012529365700861383,1.2529365700861383
Axis Large Cap Fund - Direct Plan,2013-06,2013-06-28,12.67,-0.02010827532869297,-2.010827532869297
Axis Large Cap Fund - Direct Plan,2013-07,2013-07-31,12.43,-0.018942383583267608,-1.8942383583267608
Axis Large Cap Fund - Direct Plan,2013-08,2013-08-30,11.91,-0.04183427192276745,-4.183427192276746
Axis Large Cap Fund - Direct Plan,2013-09,2013-09-30,12.54,0.052896725440805925,5.2896725440805925
Axis Large Cap Fund - Direct Plan,2013-10,2013-10-31,13.62,0.0861244019138756,8.61244019138756
Axis Large Cap Fund - Direct Plan,2013-11,2013-11-29,13.45,-0.012481644640234935,-1.2481644640234935
Axis Large Cap Fund - Direct Plan,2013-12,2013-12-31,13.85,0.029739776951672958,2.973977695167296
Axis Large Cap Fund - Direct Plan,2014-01,2014-01-31,13.29,-0.04043321299638991,-4.043321299638992
Axis Large Cap Fund - Direct Plan,2014-02,2014-02-28,13.56,0.02031602708803626,2.031602708803626
Axis Large Cap Fund - Direct Plan,2014-03,2014-03-31,14.69,0.08333333333333326,8.333333333333325
Axis Large Cap Fund - Direct Plan,2014-04,2014-04-30,14.75,0.004084411164057222,0.4084411164057222
Axis Large Cap Fund - Direct Plan,2014-05,2014-05-30,16.28,0.10372881355932217,10.372881355932218
Axis Large Cap Fund - Direct Plan,2014-06,2014-06-30,17.42,0.07002457002457008,7.002457002457008
Axis Large Cap Fund - Direct Plan,2014-07,2014-07-31,17.18,-0.013777267508610858,-1.3777267508610858
Axis Large Cap Fund - Direct Plan,2014-08,2014-08-28,17.8,0.03608847497089651,3.608847497089651
Axis Large Cap Fund - Direct Plan,2014-09,2014-09-30,18.15,0.019662921348314377,1.9662921348314377
Axis Large Cap Fund - Direct Plan,2014-10,2014-10-31,19.0,0.046831955922865154,4.683195592286515
Axis Large Cap Fund - Direct Plan,2014-11,2014-11-28,20.13,0.059473684210526345,5.9473684210526345
Axis Large Cap Fund - Direct Plan,2014-12,2014-12-31,19.76,-0.018380526577247758,-1.8380526577247758
Axis Large Cap Fund - Direct Plan,2015-01,2015-01-30,20.55,0.03997975708502022,3.9979757085020218
Axis Large Cap Fund - Direct Plan,2015-02,2015-02-27,20.46,-0.004379562043795637,-0.43795620437956373
Axis Large Cap Fund - Direct Plan,2015-03,2015-03-31,19.99,-0.02297165200391016,-2.297165200391016
Axis Large Cap Fund - Direct Plan,2015-04,2015-04-30,19.22,-0.03851925962981484,-3.851925962981484
Axis Large Cap Fund - Direct Plan,2015-05,2015-05-29,19.86,0.0332986472424559,3.3298647242455903
Axis Large Cap Fund - Direct Plan,2015-06,2015-06-30,19.89,0.0015105740181269312,0.15105740181269312
Axis Large Cap Fund - Direct Plan,2015-07,2015-07-31,20.52,0.03167420814479627,3.1674208144796268
Axis Large Cap Fund - Direct Plan,2015-08,2015-08-31,19.29,-0.059941520467836296,-5.994152046783629
Axis Large Cap Fund - Direct Plan,2015-09,2015-09-30,19.35,0.0031104199066875893,0.3110419906687589
Axis Large Cap Fund - Direct Plan,2015-10,2015-10-30,19.64,0.01498708010335914,1.498708010335914
Axis Large Cap Fund - Direct Plan,2015-11,2015-11-30,19.57,-0.003564154786150686,-0.3564154786150686
Axis Large Cap Fund - Direct Plan,2015-12,2015-12-31,19.71,0.007153806847215227,0.7153806847215227
Axis Large Cap Fund - Direct Plan,2016-01,2016-01-29,18.73,-0.04972095383054287,-4.972095383054286
Axis Large Cap Fund - Direct Plan,2016-02,2016-02-29,17.32,-0.07528029898558464,-7.528029898558463
Axis Large Cap Fund - Direct Plan,2016-03,2016-03-31,18.89,0.09064665127020777,9.064665127020778
Axis Large Cap Fund - Direct Plan,2016-04,2016-04-29,19.49,0.03176283748014819,3.1762837480148187
Axis Large Cap Fund - Direct Plan,2016-05,2016-05-31,20.12,0.032324268855823624,3.2324268855823624
Axis Large Cap Fund - Direct Plan,2016-06,2016-06-30,20.31,0.009443339960238495,0.9443339960238495
Axis Large Cap Fund - Direct Plan,2016-07,2016-07-29,21.06,0.03692762186115206,3.692762186115206
Axis Large Cap Fund - Direct Plan,2016-08,2016-08-31,21.58,0.024691358024691246,2.4691358024691246
Axis Large Cap Fund - Direct Plan,2016-09,2016-09-30,21.17,-0.01899907321594052,-1.899907321594052
Axis Large Cap Fund - Direct Plan,2016-10,2016-10-28,21.17,0.0,0.0
Axis Large Cap Fund - Direct Plan,2016-11,2016-11-30,19.67,-0.07085498346717056,-7.085498346717056
Axis Large Cap Fund - Direct Plan,2016-12,2016-12-30,19.19,-0.02440264361972544,-2.440264361972544
Axis Large Cap Fund - Direct Plan,2017-01,2017-01-31,20.17,0.05106826472120907,5.106826472120907
Axis Large Cap Fund - Direct Plan,2017-02,2017-02-28,20.94,0.038175508180466,3.8175508180466
Axis Large Cap Fund - Direct Plan,2017-03,2017-03-31,21.86,0.04393505253104091,4.393505253104091
Axis Large Cap Fund - Direct Plan,2017-04,2017-04-28,22.75,0.04071363220494062,4.071363220494062
Axis Large Cap Fund - Direct Plan,2017-05,2017-05-31,23.33,0.025494505494505493,2.5494505494505493
Axis Large Cap Fund - Direct Plan,2017-06,2017-06-30,23.36,0.001285897985426443,0.1285897985426443
Axis Large Cap Fund - Direct Plan,2017-07,2017-07-31,24.78,0.06078767123287676,6.078767123287676
Axis Large Cap Fund - Direct Plan,2017-08,2017-08-31,25.0,0.00887812752219519,0.8878127522195189
Axis Large Cap Fund - Direct Plan,2017-09,2017-09-29,24.99,-0.00040000000000006697,-0.0400000000000067
Axis Large Cap Fund - Direct Plan,2017-10,2017-10-31,25.83,0.03361344537815136,3.3613445378151363
Axis Large Cap Fund - Direct Plan,2017-11,2017-11-30,25.87,0.0015485869144407083,0.15485869144407083
Axis Large Cap Fund - Direct Plan,2017-12,2017-12-29,26.83,0.03710862002319271,3.7108620023192707
Axis Large Cap Fund - Direct Plan,2018-01,2018-01-31,27.14,0.011554230339172689,1.1554230339172689
Axis Large Cap Fund - Direct Plan,2018-02,2018-02-28,26.46,-0.025055268975681666,-2.5055268975681666
Axis Large Cap Fund - Direct Plan,2018-03,2018-03-28,26.19,-0.010204081632653073,-1.0204081632653073
Axis Large Cap Fund - Direct Plan,2018-04,2018-04-30,27.95,0.06720122184039701,6.720122184039701
Axis Large Cap Fund - Direct Plan,2018-05,2018-05-31,28.58,0.022540250447227184,2.2540250447227184
Axis Large Cap Fund - Direct Plan,2018-06,2018-06-29,28.87,0.010146955913226119,1.014695591322612
Axis Large Cap Fund - Direct Plan,2018-07,2018-07-31,30.56,0.058538275025978415,5.8538275025978415
Axis Large Cap Fund - Direct Plan,2018-08,2018-08-31,30.73,0.005562827225130906,0.5562827225130906
Axis Large Cap Fund - Direct Plan,2018-09,2018-09-28,28.36,-0.077123332248617,-7.7123332248617
Axis Large Cap Fund - Direct Plan,2018-10,2018-10-31,26.93,-0.05042313117066288,-5.042313117066288
Axis Large Cap Fund - Direct Plan,2018-11,2018-11-30,28.77,0.06832528778314151,6.832528778314151
Axis Large Cap Fund - Direct Plan,2018-12,2018-12-31,28.99,0.00764685436218282,0.764685436218282
